player_id,name,team_name,year,games,games_started,innings,wins,losses,ERA,WHIP,strikeouts,walks,hits_allowed,home_runs_allowed,K_per_9,BB_per_9,K_per_game,avg_innings_per_start
685410,Peyton Battenfield,Cleveland Guardians,2023,7,6,34.2,0,5,5.19,1.33,27,12,34,7,7.01,3.12,4.5,5.7
676440,Tanner Bibee,Cleveland Guardians,2023,25,25,142.0,10,4,2.98,1.18,141,45,122,13,8.94,2.85,5.64,5.68
669456,Shane Bieber,Cleveland Guardians,2023,21,21,128.0,6,6,3.8,1.23,107,34,124,14,7.52,2.39,5.095238095238095,6.095238095238095
675540,Xzavion Curry,Cleveland Guardians,2023,41,9,95.0,3,4,4.07,1.35,67,30,98,12,6.35,2.84,7.444444444444445,10.555555555555555
683769,Hunter Gaddis,Cleveland Guardians,2023,11,7,42.0,2,1,4.5,1.31,24,14,41,6,5.14,3.0,3.4285714285714284,6.0
668676,Zach Plesac,Cleveland Guardians,2023,5,5,21.1,1,1,7.59,1.97,14,5,37,3,5.91,2.11,2.8,4.220000000000001
615698,Cal Quantrill,Cleveland Guardians,2023,19,19,99.2,4,7,5.24,1.46,58,35,111,11,5.24,3.16,3.0526315789473686,5.221052631578948
592789,Noah Syndergaard,Cleveland Guardians,2023,12,12,55.1,1,4,7.16,1.45,38,9,71,12,6.18,1.46,3.1666666666666665,4.591666666666667
668909,Gavin Williams,Cleveland Guardians,2023,16,16,82.0,3,5,3.29,1.26,81,37,66,8,8.89,4.06,5.0625,5.125
621389,Ty Blach,Colorado Rockies,2023,20,13,78.0,3,3,5.54,1.64,50,24,104,15,5.77,2.77,3.8461538461538463,6.0
663562,Noah Davis,Colorado Rockies,2023,8,6,30.0,0,4,8.7,1.93,26,15,43,6,7.8,4.5,4.333333333333333,5.0
663372,Ryan Feltner,Colorado Rockies,2023,10,10,43.1,2,4,5.82,1.68,38,28,45,2,7.89,5.82,3.8,4.3100000000000005
607536,Kyle Freeland,Colorado Rockies,2023,29,29,155.2,6,14,5.03,1.47,94,42,187,29,5.43,2.43,3.2413793103448274,5.3517241379310345
596295,Austin Gomber,Colorado Rockies,2023,27,27,139.0,9,9,5.5,1.49,87,43,164,26,5.63,2.78,3.2222222222222223,5.148148148148148
663567,Peter Lambert,Colorado Rockies,2023,25,11,87.1,3,7,5.36,1.39,71,28,93,18,7.32,2.89,6.454545454545454,7.918181818181818
657756,Connor Seabold,Colorado Rockies,2023,27,13,87.1,1,7,7.52,1.65,67,28,116,19,6.9,2.89,5.153846153846154,6.699999999999999
571510,Matthew Boyd,Detroit Tigers,2023,15,15,71.0,5,5,5.45,1.32,73,25,69,11,9.25,3.17,4.866666666666666,4.733333333333333
656412,Alex Faedo,Detroit Tigers,2023,15,12,64.2,2,5,4.45,1.05,58,20,48,12,8.07,2.78,4.833333333333333,5.3500000000000005
666159,Matt Manning,Detroit Tigers,2023,15,15,78.0,5,4,3.58,1.04,50,21,60,11,5.77,2.42,3.3333333333333335,5.2
681857,Reese Olson,Detroit Tigers,2023,21,18,103.2,5,7,3.99,1.12,103,33,83,14,8.94,2.86,5.722222222222222,5.733333333333333
