game_id,date,year,home_team,home_abbr,away_team,away_abbr,home_score,away_score,home_win,winning_team,losing_team,home_pitcher,away_pitcher,venue
777645,2025-06-04,2025,Seattle Mariners,136,Baltimore Orioles,110,2,3,0,Baltimore Orioles,Seattle Mariners,Emerson Hancock,Cade Povich,T-Mobile Park
777641,2025-06-04,2025,San Francisco Giants,137,San Diego Padres,135,6,5,1,San Francisco Giants,San Diego Padres,Kyle Harrison,Nick Pivetta,Oracle Park
777643,2025-06-04,2025,Athletics,133,Minnesota Twins,142,1,6,0,Minnesota Twins,Athletics,,Zebby Matthews,Sutter Health Park
777638,2025-06-04,2025,Los Angeles Dodgers,119,New York Mets,121,1,6,0,New York Mets,Los Angeles Dodgers,Tony Gonsolin,Griffin Canning,Dodger Stadium
777640,2025-06-05,2025,Atlanta Braves,144,Arizona Diamondbacks,109,10,11,0,Arizona Diamondbacks,Atlanta Braves,Grant Holmes,Brandon Pfaadt,Truist Park
777642,2025-06-05,2025,St. Louis Cardinals,138,Kansas City Royals,118,6,5,1,St. Louis Cardinals,Kansas City Royals,Miles Mikolas,Noah Cameron,Busch Stadium
777635,2025-06-05,2025,St. Louis Cardinals,138,Kansas City Royals,118,5,7,0,Kansas City Royals,St. Louis Cardinals,Matthew Liberatore,Cole Ragans,Busch Stadium
777634,2025-06-05,2025,Chicago White Sox,145,Detroit Tigers,116,3,2,1,Chicago White Sox,Detroit Tigers,Sean Burke,Casey Mize,Rate Field
777637,2025-06-05,2025,Toronto Blue Jays,141,Philadelphia Phillies,143,9,1,1,Toronto Blue Jays,Philadelphia Phillies,Chris Bassitt,Jesús Luzardo,Rogers Centre
777636,2025-06-05,2025,Athletics,133,Minnesota Twins,142,14,3,1,Athletics,Minnesota Twins,Mitch Spence,David Festa,Sutter Health Park
777628,2025-06-05,2025,Seattle Mariners,136,Baltimore Orioles,110,3,4,0,Baltimore Orioles,Seattle Mariners,Bryan Woo,Zach Eflin,T-Mobile Park
777633,2025-06-05,2025,San Francisco Giants,137,San Diego Padres,135,3,2,1,San Francisco Giants,San Diego Padres,Robbie Ray,Dylan Cease,Oracle Park
777631,2025-06-05,2025,Los Angeles Dodgers,119,New York Mets,121,6,5,1,Los Angeles Dodgers,New York Mets,Landon Knack,David Peterson,Dodger Stadium
777630,2025-06-05,2025,Pittsburgh Pirates,134,Houston Astros,117,2,8,0,Houston Astros,Pittsburgh Pirates,Mitch Keller,Framber Valdez,PNC Park
777632,2025-06-05,2025,Washington Nationals,120,Chicago Cubs,112,1,7,0,Chicago Cubs,Washington Nationals,Jake Irvin,Drew Pomeranz,Nationals Park
777644,2025-06-05,2025,New York Yankees,147,Cleveland Guardians,114,4,0,1,New York Yankees,Cleveland Guardians,Max Fried,Slade Cecconi,Yankee Stadium
777629,2025-06-05,2025,Tampa Bay Rays,139,Texas Rangers,140,4,3,1,Tampa Bay Rays,Texas Rangers,Ryan Pepiot,Jack Leiter,George M. Steinbrenner Field
777625,2025-06-06,2025,Tampa Bay Rays,139,Miami Marlins,146,4,3,1,Tampa Bay Rays,Miami Marlins,Zack Littell,Edward Cabrera,George M. Steinbrenner Field
777621,2025-06-06,2025,Pittsburgh Pirates,134,Philadelphia Phillies,143,5,4,1,Pittsburgh Pirates,Philadelphia Phillies,Bailey Falter,Joe Ross,PNC Park
777624,2025-06-06,2025,Washington Nationals,120,Texas Rangers,140,2,0,1,Washington Nationals,Texas Rangers,Michael Soroka,Patrick Corbin,Nationals Park
777627,2025-06-06,2025,New York Yankees,147,Boston Red Sox,111,9,6,1,New York Yankees,Boston Red Sox,Will Warren,Walker Buehler,Yankee Stadium
777623,2025-06-06,2025,Cincinnati Reds,113,Arizona Diamondbacks,109,4,3,1,Cincinnati Reds,Arizona Diamondbacks,Nick Lodolo,Eduardo Rodriguez,Great American Ball Park
777626,2025-06-06,2025,Detroit Tigers,116,Chicago Cubs,112,3,1,1,Detroit Tigers,Chicago Cubs,Tarik Skubal,Ben Brown,Comerica Park
777622,2025-06-06,2025,Cleveland Guardians,114,Houston Astros,117,2,4,0,Houston Astros,Cleveland Guardians,Logan Allen,Colton Gordon,Progressive Field
777618,2025-06-06,2025,Chicago White Sox,145,Kansas City Royals,118,7,2,1,Chicago White Sox,Kansas City Royals,Davis Martin,Seth Lugo,Rate Field
777615,2025-06-06,2025,Minnesota Twins,142,Toronto Blue Jays,141,4,6,0,Toronto Blue Jays,Minnesota Twins,Bailey Ober,Paxton Schultz,Target Field
777617,2025-06-06,2025,Milwaukee Brewers,158,San Diego Padres,135,0,2,0,San Diego Padres,Milwaukee Brewers,Chad Patrick,Randy Vásquez,American Family Field
777620,2025-06-06,2025,St. Louis Cardinals,138,Los Angeles Dodgers,119,5,0,1,St. Louis Cardinals,Los Angeles Dodgers,Sonny Gray,Justin Wrobleski,Busch Stadium
777616,2025-06-06,2025,Colorado Rockies,115,New York Mets,121,2,4,0,New York Mets,Colorado Rockies,Ryan Rolison,Kodai Senga,Coors Field
777614,2025-06-06,2025,Los Angeles Angels,108,Seattle Mariners,136,5,4,1,Los Angeles Angels,Seattle Mariners,Kyle Hendricks,Bryce Miller,Angel Stadium
777613,2025-06-06,2025,Athletics,133,Baltimore Orioles,110,5,4,1,Athletics,Baltimore Orioles,JP Sears,Dean Kremer,Sutter Health Park
777619,2025-06-06,2025,San Francisco Giants,137,Atlanta Braves,144,5,4,1,San Francisco Giants,Atlanta Braves,Hayden Birdsong,Spencer Schwellenbach,Oracle Park
777609,2025-06-07,2025,Detroit Tigers,116,Chicago Cubs,112,1,6,0,Chicago Cubs,Detroit Tigers,Tyler Holton,Jameson Taillon,Comerica Park
777623,2025-06-07,2025,Cincinnati Reds,113,Arizona Diamondbacks,109,4,3,1,Cincinnati Reds,Arizona Diamondbacks,Nick Lodolo,Eduardo Rodriguez,Great American Ball Park
777600,2025-06-07,2025,Minnesota Twins,142,Toronto Blue Jays,141,4,5,0,Toronto Blue Jays,Minnesota Twins,Chris Paddack,Kevin Gausman,Target Field
777601,2025-06-07,2025,St. Louis Cardinals,138,Los Angeles Dodgers,119,2,1,1,St. Louis Cardinals,Los Angeles Dodgers,Erick Fedde,Yoshinobu Yamamoto,Busch Stadium
777610,2025-06-07,2025,Washington Nationals,120,Texas Rangers,140,0,5,0,Texas Rangers,Washington Nationals,Mitchell Parker,Jacob deGrom,Nationals Park
777607,2025-06-07,2025,Pittsburgh Pirates,134,Philadelphia Phillies,143,2,1,1,Pittsburgh Pirates,Philadelphia Phillies,Andrew Heaney,Ranger Suárez,PNC Park
777598,2025-06-07,2025,San Francisco Giants,137,Atlanta Braves,144,3,2,1,San Francisco Giants,Atlanta Braves,Logan Webb,Bryce Elder,Oracle Park
777612,2025-06-07,2025,Cincinnati Reds,113,Arizona Diamondbacks,109,13,1,1,Cincinnati Reds,Arizona Diamondbacks,Nick Martinez,Ryne Nelson,Great American Ball Park
777608,2025-06-07,2025,Cleveland Guardians,114,Houston Astros,117,3,5,0,Houston Astros,Cleveland Guardians,Gavin Williams,Hunter Brown,Progressive Field
777606,2025-06-07,2025,Chicago White Sox,145,Kansas City Royals,118,4,1,1,Chicago White Sox,Kansas City Royals,Adrian Houser,Michael Wacha,Rate Field
777611,2025-06-07,2025,Tampa Bay Rays,139,Miami Marlins,146,10,11,0,Miami Marlins,Tampa Bay Rays,Taj Bradley,Ryan Weathers,George M. Steinbrenner Field
777605,2025-06-07,2025,New York Yankees,147,Boston Red Sox,111,7,10,0,Boston Red Sox,New York Yankees,Ryan Yarbrough,Garrett Crochet,Yankee Stadium
777597,2025-06-07,2025,Milwaukee Brewers,158,San Diego Padres,135,4,3,1,Milwaukee Brewers,San Diego Padres,Jose Quintana,Stephen Kolek,American Family Field
777603,2025-06-07,2025,Los Angeles Angels,108,Seattle Mariners,136,8,6,1,Los Angeles Angels,Seattle Mariners,Jack Kochanowicz,Luis Castillo,Angel Stadium
777604,2025-06-07,2025,Colorado Rockies,115,New York Mets,121,1,8,0,New York Mets,Colorado Rockies,Germán Márquez,Clay Holmes,Coors Field
777599,2025-06-07,2025,Athletics,133,Baltimore Orioles,110,4,7,0,Baltimore Orioles,Athletics,Luis Severino,Charlie Morton,Sutter Health Park
777592,2025-06-08,2025,Tampa Bay Rays,139,Miami Marlins,146,3,2,1,Tampa Bay Rays,Miami Marlins,Drew Rasmussen,Anthony Veneziano,George M. Steinbrenner Field
777586,2025-06-08,2025,Milwaukee Brewers,158,San Diego Padres,135,0,1,0,San Diego Padres,Milwaukee Brewers,Freddy Peralta,Ryan Bergert,American Family Field
777596,2025-06-08,2025,Washington Nationals,120,Texas Rangers,140,2,4,0,Texas Rangers,Washington Nationals,Trevor Williams,Jacob Latz,Nationals Park
777595,2025-06-08,2025,Pittsburgh Pirates,134,Philadelphia Phillies,143,2,1,1,Pittsburgh Pirates,Philadelphia Phillies,Paul Skenes,Cristopher Sánchez,PNC Park
777602,2025-06-08,2025,Cincinnati Reds,113,Arizona Diamondbacks,109,4,2,1,Cincinnati Reds,Arizona Diamondbacks,Brady Singer,Zac Gallen,Great American Ball Park
777594,2025-06-08,2025,Detroit Tigers,116,Chicago Cubs,112,4,0,1,Detroit Tigers,Chicago Cubs,Jack Flaherty,Cade Horton,Comerica Park
777591,2025-06-08,2025,Cleveland Guardians,114,Houston Astros,117,4,2,1,Cleveland Guardians,Houston Astros,Tanner Bibee,Brandon Walter,Progressive Field
777585,2025-06-08,2025,Minnesota Twins,142,Toronto Blue Jays,141,6,3,1,Minnesota Twins,Toronto Blue Jays,Joe Ryan,Bowden Francis,Target Field
777590,2025-06-08,2025,Chicago White Sox,145,Kansas City Royals,118,5,7,0,Kansas City Royals,Chicago White Sox,Mike Vasil,Michael Lorenzen,Rate Field
777582,2025-06-08,2025,St. Louis Cardinals,138,Los Angeles Dodgers,119,3,7,0,Los Angeles Dodgers,St. Louis Cardinals,Michael McGreevy,Clayton Kershaw,Busch Stadium
