player_id,name,team_name,year,games,at_bats,plate_appearances,hits,doubles,triples,home_runs,rbi,walks,strikeouts,stolen_bases,BA,OBP,SLG,OPS,hits_per_game,HR_per_game,K_rate
663457,Lars Nootbaar,St. Louis Cardinals,2022,108,290,347,66,16,3,14,40,51,71,4,0.228,0.34,0.448,0.788,0.6111111111111112,0.12962962962962962,0.20461095100864554
641933,Tyler O'Neill,St. Louis Cardinals,2022,96,334,383,76,11,1,14,58,38,103,14,0.228,0.308,0.392,0.7,0.7916666666666666,0.14583333333333334,0.2689295039164491
405395,Albert Pujols,St. Louis Cardinals,2022,109,307,351,83,14,0,24,68,28,55,1,0.27,0.345,0.55,0.895,0.7614678899082569,0.22018348623853212,0.15669515669515668
519222,Austin Romine,St. Louis Cardinals,2022,51,129,136,20,3,0,3,9,4,46,0,0.155,0.187,0.248,0.435,0.39215686274509803,0.058823529411764705,0.3382352941176471
624641,Edmundo Sosa,St. Louis Cardinals,2022,53,122,131,23,4,3,0,8,4,38,3,0.189,0.244,0.27,0.514,0.4339622641509434,0.0,0.2900763358778626
624641,Edmundo Sosa,St. Louis Cardinals,2022,78,176,190,40,11,4,2,21,5,50,6,0.227,0.275,0.369,0.644,0.5128205128205128,0.02564102564102564,0.2631578947368421
660766,Juan Yepez,St. Louis Cardinals,2022,76,253,274,64,13,0,12,30,16,61,0,0.253,0.296,0.447,0.743,0.8421052631578947,0.15789473684210525,0.22262773722627738
668227,Randy Arozarena,Tampa Bay Rays,2022,153,586,645,154,41,3,20,89,46,156,32,0.263,0.327,0.445,0.772,1.0065359477124183,0.13071895424836602,0.24186046511627907
660644,Vidal Bruján,Tampa Bay Rays,2022,52,147,162,24,5,0,3,16,12,37,5,0.163,0.228,0.259,0.487,0.46153846153846156,0.057692307692307696,0.22839506172839505
596847,Ji Man Choi,Tampa Bay Rays,2022,113,356,419,83,22,0,11,52,58,123,0,0.233,0.341,0.388,0.729,0.7345132743362832,0.09734513274336283,0.2935560859188544
650490,Yandy Díaz,Tampa Bay Rays,2022,137,473,558,140,33,0,9,57,78,60,3,0.296,0.401,0.423,0.824,1.0218978102189782,0.06569343065693431,0.10752688172043011
677551,Wander Franco,Tampa Bay Rays,2022,83,314,344,87,20,3,6,33,26,33,8,0.277,0.328,0.417,0.745,1.0481927710843373,0.07228915662650602,0.09593023255813954
595281,Kevin Kiermaier,Tampa Bay Rays,2022,63,206,221,47,8,0,7,22,14,61,6,0.228,0.281,0.369,0.65,0.746031746031746,0.1111111111111111,0.27601809954751133
664040,Brandon Lowe,Tampa Bay Rays,2022,65,235,266,52,10,2,8,25,27,61,1,0.221,0.308,0.383,0.691,0.8,0.12307692307692308,0.22932330827067668
666139,Josh Lowe,Tampa Bay Rays,2022,52,181,198,40,12,2,2,13,15,66,3,0.221,0.284,0.343,0.627,0.7692307692307693,0.038461538461538464,0.3333333333333333
